ID;TIME
788;13240494.76534 ns;
789;13249869.45838 ns;
790;13231376.18601 ns;
791;13323677.70374 ns;
792;13293826.95258 ns;
793;13356543.14607 ns;
794;13220400.54947 ns;
795;13610064.98337 ns;
796;13372442.68507 ns;
797;13455642.38727 ns;
798;13331450.52195 ns;
799;13362893.83471 ns;
800;13331652.61894 ns;
801;13295968.99450 ns;
802;13711328.61823 ns;
803;13590572.40188 ns;
804;13243960.21664 ns;
805;13264615.08870 ns;
806;13237581.58833 ns;
807;13198088.85455 ns;
808;13213100.84313 ns;
809;13361138.29166 ns;
810;13246963.73194 ns;
811;13306811.45191 ns;
812;13284469.95467 ns;
813;13280694.37295 ns;
814;13256690.46491 ns;
815;13253206.38716 ns;
816;13296399.26553 ns;
817;13232638.12810 ns;
818;13233168.98197 ns;
819;13260446.48886 ns;
820;13250526.97212 ns;
821;13270550.40747 ns;
822;13246557.67530 ns;
823;13287036.67969 ns;
824;13369353.48809 ns;
825;13506844.63978 ns;
826;13687441.12551 ns;
827;13214396.31283 ns;
828;13415533.11795 ns;
829;13256324.45514 ns;
830;13249222.18919 ns;
831;13389098.45799 ns;
832;13233201.57826 ns;
833;13394148.08899 ns;
834;13285855.76266 ns;
835;13341559.09717 ns;
836;13322583.39971 ns;
837;13328585.77371 ns;
838;13275586.06863 ns;
839;13207531.53414 ns;
840;13235677.96499 ns;
841;13238233.51413 ns;
842;13354562.22296 ns;
843;13608080.33496 ns;
844;13243610.97068 ns;
845;13246436.60337 ns;
846;13240374.62473 ns;
847;13339404.01673 ns;
848;13233637.43722 ns;
849;13878287.74750 ns;
850;13505604.11811 ns;
851;13227120.04185 ns;
852;13232253.49188 ns;
853;13329254.46332 ns;
854;13332028.87326 ns;
855;13267861.67920 ns;
856;13440106.06408 ns;
857;13249122.53767 ns;
858;13227568.00801 ns;
859;13419641.18183 ns;
860;13320723.54853 ns;
861;13372457.58623 ns;
862;14434667.30416 ns;
863;13316151.68601 ns;
864;13296284.71285 ns;
865;13268235.13955 ns;
866;13222691.60300 ns;
867;13288897.46219 ns;
868;13228905.38722 ns;
869;13205558.06160 ns;
870;13274223.54370 ns;
871;13268070.29545 ns;
872;13279844.07544 ns;
873;13426646.59023 ns;
874;13352341.01862 ns;
875;13295354.32160 ns;
876;13270457.27521 ns;
877;13293439.52239 ns;
878;13294729.40415 ns;
879;13249601.23748 ns;
880;13207967.39310 ns;
881;13281863.18278 ns;
882;13232292.60743 ns;
883;13213682.91974 ns;
884;13299114.07083 ns;
885;13297501.02013 ns;
886;13229059.05545 ns;
887;13452927.58197 ns;
888;13258501.88732 ns;
889;13322217.38994 ns;
890;13454644.00947 ns;
891;13436925.59749 ns;
892;13430673.62905 ns;
893;13392133.63826 ns;
894;13272381.38765 ns;
895;13226776.38382 ns;
896;13208389.28223 ns;
897;13227577.32123 ns;
898;13280520.21563 ns;
899;13269256.80041 ns;
900;13230876.99711 ns;
901;13230457.90195 ns;
902;13313407.07839 ns;
903;13235984.37011 ns;
904;13347861.35703 ns;
905;13451280.07233 ns;
906;13312458.99200 ns;
907;13247333.46701 ns;
908;13266992.75523 ns;
909;13293013.90797 ns;
910;13270800.00192 ns;
911;13524607.75524 ns;
912;13698140.15925 ns;
913;13287540.52520 ns;
914;13232764.78797 ns;
915;13306073.84443 ns;
916;13350421.56279 ns;
917;13285795.22669 ns;
918;13573305.68135 ns;
919;13287415.72797 ns;
920;13227730.98946 ns;
921;13225199.65470 ns;
922;13656736.35155 ns;
923;13753657.22924 ns;
924;14521848.41037 ns;
925;13442480.00532 ns;
926;13373287.39464 ns;
927;13338093.64587 ns;
928;13318917.71406 ns;
929;13463590.29412 ns;
930;13329761.10280 ns;
931;13339617.28960 ns;
932;13350015.50615 ns;
933;13454785.57050 ns;
934;13405228.96498 ns;
935;13392671.01139 ns;
936;13566995.97090 ns;
937;13543334.78957 ns;
938;13773797.07992 ns;
939;13594252.05737 ns;
940;13605601.15427 ns;
941;13605993.24107 ns;
942;13577962.29422 ns;
943;13553990.05115 ns;
944;13606514.78171 ns;
945;13610339.72353 ns;
946;13542610.22061 ns;
947;13635388.57549 ns;
948;13709959.57404 ns;
949;13616331.85297 ns;
950;13628465.12347 ns;
951;13805764.72729 ns;
952;13485197.90918 ns;
953;13352121.22649 ns;
954;13474472.79841 ns;
955;13551805.16839 ns;
956;13519846.83424 ns;
957;13520427.04821 ns;
958;13521158.13643 ns;
959;13534500.26363 ns;
960;13571481.22042 ns;
961;13568424.61973 ns;
962;13690469.78652 ns;
963;13863095.08234 ns;
964;13682646.67690 ns;
965;13767892.49480 ns;
966;13640307.82133 ns;
967;13670768.58878 ns;
968;13896459.71358 ns;
969;13582569.54700 ns;
970;13708739.54147 ns;
971;13659426.94247 ns;
972;13592779.63638 ns;
973;13610890.13517 ns;
974;13628094.45709 ns;
975;13612061.73897 ns;
976;13634330.59305 ns;
977;13592503.03358 ns;
978;13627367.09416 ns;
979;13603450.73044 ns;
980;13673361.39083 ns;
981;13601344.07878 ns;
982;13611776.75426 ns;
983;13689748.94285 ns;
984;13601959.68300 ns;
985;14802876.85990 ns;
986;13673531.82286 ns;
987;13591644.35416 ns;
988;13589521.87002 ns;
989;13673985.37695 ns;
990;13590728.86407 ns;
991;13631070.96404 ns;
992;13672999.10635 ns;
993;13613139.27919 ns;
994;13624357.99092 ns;
995;13743771.24012 ns;
996;13812514.95332 ns;
997;13732613.06435 ns;
998;13701776.97390 ns;
999;13673066.16157 ns;
1000;13419499.62080 ns;
1001;13476992.02597 ns;
1002;13515401.63159 ns;
1003;13450901.02404 ns;
1004;13438286.25977 ns;
1005;13515005.81950 ns;
1006;13466352.59688 ns;
1007;13493431.73206 ns;
1008;13629285.61866 ns;
1009;13541310.09430 ns;
1010;13582784.68251 ns;
1011;13607526.19803 ns;
1012;13768002.39086 ns;
1013;13650326.05827 ns;
1014;13634053.05892 ns;
1015;13474068.60441 ns;
1016;13422827.23635 ns;
1017;13601628.13216 ns;
1018;13637655.41464 ns;
1019;13573215.34306 ns;
1020;13517937.62296 ns;
1021;13626828.78971 ns;
1022;13589334.67418 ns;
1023;13581483.62488 ns;
1024;13577034.69694 ns;
1025;13647702.52258 ns;
1026;13662034.64568 ns;
1027;13732565.56690 ns;
1028;13654356.82237 ns;
1029;13637966.47638 ns;
1030;14881383.62765 ns;
1031;13624873.94363 ns;
1032;13584199.36150 ns;
1033;13583495.28164 ns;
1034;13583294.11596 ns;
1035;13552739.28493 ns;
1036;13608163.22267 ns;
1037;13606179.50559 ns;
1038;13857390.73157 ns;
1039;13744696.97475 ns;
1040;13856591.65680 ns;
1041;13868294.65628 ns;
1042;13600820.67549 ns;
1043;13696543.87236 ns;
1044;13849692.41917 ns;
1045;13279781.67683 ns;
1046;13294503.09277 ns;
1047;13597632.75832 ns;
1048;13601011.59662 ns;
1049;13230043.46341 ns;
1050;13373859.22670 ns;
1051;13254512.10141 ns;
1052;13255732.13398 ns;
1053;13279107.39928 ns;
1054;13266355.73059 ns;
1055;13285281.13663 ns;
1056;13267275.87730 ns;
1057;13326981.10491 ns;
1058;13247733.93571 ns;
1059;13243997.46954 ns;
1060;13265478.42473 ns;
1061;13250560.49973 ns;
1062;13213898.98658 ns;
1063;13227210.38014 ns;
1064;13272189.53520 ns;
1065;13210236.09489 ns;
1066;13219980.52299 ns;
1067;13215828.68695 ns;
