ID;HW;LENGTH;TIME;
11865;503;120;13190178.20060;
11866;723;183;13131147.25053;
11867;463;114;13137229.71827;
11868;649;162;13398234.73245;
11869;588;158;13145382.98175;
11870;630;155;13131517.45126;
11871;12;2;13150130.86423;
11872;607;155;13129132.79980;
11873;680;169;13143878.43013;
11874;504;123;13134701.17748;
11875;99;26;13130169.82749;
11876;159;39;13240137.13747;
11877;132;34;13141895.64437;
11878;35;9;13150968.12323;
11879;199;47;13142225.79822;
11880;487;120;13129823.84115;
11881;35;8;13146910.35077;
11882;94;23;13215166.98226;
11883;116;30;13194241.09533;
11884;48;12;13143793.21411;
11885;651;169;13206770.17793;
11886;488;120;13134727.72017;
11887;479;122;13286367.99008;
11888;534;130;13160726.98683;
11889;41;11;13147235.84801;
11890;491;125;13226441.10769;
11891;49;10;13147554.82599;
11892;272;68;13141950.12674;
11893;26;6;13151929.71379;
11894;506;132;13195236.21351;
11895;122;33;13142235.11145;
11896;348;85;13158057.81633;
11897;4;1;13144576.92206;
11898;459;115;13355331.02974;
11899;429;106;13142754.78944;
11900;404;109;13146632.81664;
11901;565;143;13184667.09927;
11902;249;63;13150405.13873;
11903;67;14;13147337.36217;
11904;398;96;13142214.15669;
11905;708;175;13185273.85592;
11906;293;76;13144878.20491;
11907;325;82;13135243.20722;
11908;625;158;13130533.97462;
11909;293;73;13143940.82874;
11910;632;149;13130407.31475;
11911;705;170;13152320.86927;
11912;338;90;13178100.80945;
11913;655;167;13144239.78329;
11914;107;27;13150678.94757;
11915;286;75;13148666.82515;
11916;447;111;13454510.83034;
11917;203;52;13228558.93523;
11918;541;134;13154610.06016;
11919;333;87;13129293.91861;
11920;42;10;13184587.93685;
11921;401;101;13169770.59469;
11922;540;131;13146833.98232;
11923;418;102;13241406.99580;
11924;534;132;13144141.06309;
11925;610;150;13131550.04755;
11926;691;173;13148126.65805;
11927;689;174;13322791.08465;
11928;680;171;13143818.35982;
11929;474;120;13135655.31746;
11930;529;137;13144809.75270;
11931;135;35;13142225.79822;
11932;596;154;13129785.19127;
11933;51;12;13202870.26465;
11934;7;2;13581010.97867;
11935;422;108;13210698.03089;
11936;418;107;13222068.08254;
11937;376;94;13154915.99962;
11938;199;55;13191096.95032;
11939;614;158;13172388.07678;
11940;202;50;13177054.93420;
11941;346;93;13169780.83923;
11942;192;49;13245326.00120;
11943;30;9;13147031.88837;
11944;648;161;13187498.78556;
11945;375;88;13175677.97378;
11946;15;3;13189999.85233;
11947;411;101;13185422.86754;
11948;223;54;13159091.11872;
11949;620;158;13237036.29896;
11950;84;22;13313092.75702;
11951;16;5;13192054.81559;
11952;433;108;13182149.26869;
11953;402;104;13187143.02033;
11954;46;11;13192350.04485;
11955;266;64;13184980.95497;
11956;317;84;13317624.10700;
11957;280;65;13208589.98224;
11958;496;122;13171038.12471;
11959;761;187;13174806.25585;
11960;99;24;13181168.12035;
11961;699;173;13162522.11109;
11962;747;181;13137341.94264;
11963;425;108;13143321.03357;
11964;480;119;13210726.90189;
11965;637;163;13145617.67504;
11966;208;53;13137137.98299;
11967;115;32;13133957.98206;
11968;438;108;13140821.36378;
11969;523;134;13202156.87156;
11970;174;48;13209100.34701;
11971;694;173;13187235.68693;
11972;657;162;13184506.91178;
11973;331;82;13197683.26357;
11974;193;45;13185823.33624;
11975;618;156;13202677.94654;
11976;593;145;13172764.33110;
11977;147;38;13191699.05037;
11978;460;112;13236031.86756;
11979;469;116;13172644.65615;
11980;717;178;13171941.04195;
11981;123;33;13188923.24343;
11982;316;81;13175781.81624;
11983;622;154;13151946.94325;
11984;536;129;13145586.94139;
11985;183;49;13161130.71516;
11986;665;167;13416258.15257;
11987;64;15;13185498.77033;
11988;606;144;13187963.04986;
11989;480;120;13190156.78018;
11990;683;175;13143621.85076;
11991;680;164;13170643.70960;
11992;244;58;13177957.85144;
11993;4;1;13233176.89821;
11994;623;163;13181919.23201;
11995;239;57;13170312.15876;
11996;385;101;13247603.08489;
11997;559;143;13208488.00242;
11998;482;120;13133060.65276;
11999;75;19;13226726.09240;
12000;4;1;13190618.25052;
12001;413;103;13249885.29086;
12002;72;19;13171238.82473;
12003;434;110;13188814.27869;
12004;649;165;13187992.85218;
12005;27;8;13145859.81891;
12006;599;151;13206376.22848;
12007;333;88;13316375.66909;
12008;140;36;13265639.07787;
12009;88;24;13176758.30796;
12010;237;60;13244483.15427;
12011;675;175;13166408.98585;
12012;396;95;13179093.13366;
12013;435;98;13187309.72707;
12014;697;180;13181107.58439;
12015;506;120;13369628.22825;
12016;153;41;13190372.84702;
12017;631;150;13183828.90895;
12018;707;179;13176973.90914;
12019;712;182;13185804.24413;
12020;325;84;13173651.41585;
12021;378;99;13189089.01885;
12022;737;185;13189540.24464;
12023;16;4;13340910.89666;
12024;650;161;13248715.08405;
12025;556;144;13149645.64517;
12026;249;66;13218952.80853;
12027;122;31;13268803.24632;
12028;719;184;13164140.74972;
12029;52;12;13202203.90335;
12030;428;106;13223066.92600;
12031;698;175;13227876.74144;
12032;192;50;13132480.90446;
12033;209;52;13160763.77407;
12034;638;153;13180152.97875;
12035;681;175;13215993.99671;
12036;505;124;13161215.93118;
12037;239;59;13309638.01593;
12038;407;100;13169133.10438;
12039;606;148;13171472.12103;
12040;457;108;13176174.83437;
12041;48;12;13184703.88651;
12042;595;148;13170112.85573;
12043;711;181;13196559.15722;
12044;428;110;13181034.94123;
12045;514;131;13354871.88771;
12046;551;144;13187431.73033;
12047;76;25;13163023.16263;
12048;714;179;13276047.07330;
12049;687;179;13193435.03565;
12050;332;88;13217937.20126;
12051;497;123;13163486.96128;
12052;692;177;13183311.09360;
12053;183;45;13205251.19081;
12054;262;65;13159248.04658;
12055;161;38;13152230.06532;
12056;124;34;13157792.85505;
12057;428;107;13214734.84859;
12058;50;11;13221501.83842;
12059;387;100;13298814.18496;
12060;287;76;13184395.61874;
12061;627;150;13167130.29519;
12062;120;34;13198153.11581;
12063;387;97;13158048.96876;
12064;232;59;13135707.93718;
12065;331;87;13140809.25658;
12066;335;81;13134747.74361;
12067;731;177;13210624.92207;
12068;485;128;13177963.43938;
12069;560;138;13277969.78876;
12070;236;61;13301489.87472;
12071;23;6;13204434.88657;
12072;666;165;13163670.89748;
12073;384;96;13445202.72687;
12074;508;129;13405628.96803;
12075;506;129;13189059.68219;
