ID;HW;TIME
835;261;1481908.37353 ns;
836;251;1479553.99007 ns;
837;263;1479219.64526 ns;
838;259;1503798.17933 ns;
839;253;1475281.08209 ns;
840;248;1483767.29339 ns;
841;254;1475187.01851 ns;
842;271;1479426.39887 ns;
843;265;1479955.39010 ns;
844;268;1475877.12854 ns;
845;273;1473418.43694 ns;
846;265;1484083.94307 ns;
847;255;1474846.15445 ns;
848;269;1473913.90055 ns;
849;253;1485618.76267 ns;
850;236;1481570.30344 ns;
851;255;1505387.94696 ns;
852;263;1473016.10559 ns;
853;254;1473052.42717 ns;
854;267;1484958.45497 ns;
855;253;1475096.68022 ns;
856;238;1844407.99057 ns;
857;256;1504885.96410 ns;
858;259;1473334.61791 ns;
859;227;1483216.88175 ns;
860;253;1476994.71563 ns;
861;264;1475828.69977 ns;
862;245;1499849.37161 ns;
863;261;1499357.63329 ns;
864;272;1473418.43694 ns;
865;261;1475581.89929 ns;
866;243;1485397.10790 ns;
867;251;1474039.62910 ns;
868;242;1509712.07768 ns;
869;274;1540017.31426 ns;
870;246;1482998.02095 ns;
871;255;1498395.57707 ns;
872;256;1493062.82401 ns;
873;261;1502099.44695 ns;
874;271;1519449.98652 ns;
875;245;1509224.06465 ns;
876;268;1505389.80961 ns;
877;247;1474936.49274 ns;
878;241;1493509.85885 ns;
879;263;1474072.22539 ns;
880;258;1485732.38403 ns;
881;264;1477755.60617 ns;
882;252;1498918.04904 ns;
883;275;1475658.26774 ns;
884;237;1475138.58974 ns;
885;263;1503658.48094 ns;
886;255;1476064.32438 ns;
887;252;1503990.96310 ns;
888;295;1480575.65093 ns;
889;275;1479559.57800 ns;
890;256;1489261.16526 ns;
891;264;1474039.62910 ns;
892;261;1474478.28203 ns;
893;240;1474185.84675 ns;
894;266;1498688.94368 ns;
895;258;1477820.79875 ns;
896;266;1528766.00623 ns;
897;268;1473663.37478 ns;
898;255;1494003.45981 ns;
899;264;1476449.89192 ns;
900;266;1513421.53549 ns;
901;251;1482346.09514 ns;
902;249;1481096.26025 ns;
903;265;1476091.33273 ns;
904;268;1484960.31761 ns;
905;235;1472700.38724 ns;
906;267;1473837.53210 ns;
907;229;1484038.30826 ns;
908;268;1489947.55000 ns;
909;256;1484693.95936 ns;
910;248;1476294.36105 ns;
911;250;1474531.36742 ns;
912;251;1475067.80922 ns;
913;260;1529670.32045 ns;
914;269;1490334.98019 ns;
915;276;1479677.85597 ns;
916;268;1512731.42546 ns;
917;266;1476953.73744 ns;
918;267;1475952.56567 ns;
919;263;1475370.48906 ns;
920;250;1476097.85199 ns;
921;286;1480950.04261 ns;
922;235;1480610.10987 ns;
923;250;1479450.61326 ns;
924;266;1472187.22850 ns;
925;260;1486127.26480 ns;
926;254;1486139.37199 ns;
927;266;1474494.11452 ns;
928;263;1480650.15674 ns;
